"name","slug","specs","meta_title","meta_description","compatible_products"
"Вал 1М63.06.335","val-1m63-06-335","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Номер оси"",""value"":""9""}]","Вал 1М63.06.335, вал 9-й оси фартука станка 1М63 (ДИП-300)","Купить вал 1М63.06.335 (вал 9-й оси, позиция 162) для фартука токарного станка 1М63 (ДИП-300, 163, 1М63Н). Каталожная запчасть для узла подач. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""14cd5b1e-24a9-4898-9898-e6239dde3dfd""},{""spare_part_id"":""14cd5b1e-24a9-4898-9898-e6239dde3dfd""},{""spare_part_id"":""14cd5b1e-24a9-4898-9898-e6239dde3dfd""}]"
"Блок зубчатый 1М63Б.60.2811","blok-zubcatyi-1m63b-60-2811","[{""key"":""Применимость:"",""value"":""Фартук""},{""key"":""Позиция на кинематической схеме, №"",""value"":""139""},{""key"":""Число зубьев, z"",""value"":""45""},{""key"":""Модуль, m"",""value"":""1""},{""key"":""Ширина обода, мм "",""value"":""9""}]","Блок зубчатый 1М63Б.60.2811 для фартука станка 1Н65, z=45, m=1","Купить блок зубчатый 1М63Б.60.2811 для фартука токарного станка 1Н65 (ДИП‑500, 165, 1М65), а также РТ117 и РТ817. Z=45, m=1, позиция 139 по схеме. Запчасть ТД РУССтанкоСбыт","[{""spare_part_id"":""1526faeb-ecff-4152-a929-174389494e7c""},{""spare_part_id"":""1526faeb-ecff-4152-a929-174389494e7c""},{""spare_part_id"":""1526faeb-ecff-4152-a929-174389494e7c""}]"
"Вал 16К30Ф3.30.193","val-16k30f3-30-193","[{""key"":""Применимость: "",""value"":""Фартук""}]","Вал 16К30Ф3.30.193 для станка с ЧПУ 16К30Ф3/16М30Ф3","Купить вал 16К30Ф3.30.193 для привода подач (фартука) токарного станка с ЧПУ 16К30Ф3 и 16М30Ф3. Оригинальная каталожная запчасть для станков с ЧПУ. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""15e90bf9-7c77-4452-ab7d-7f63e1242af0""}]"
"Изготовление и восстановление направляющих для станков под заказ","jzgotovlenje-j-vosstanovlenje-napravlausjh-dla-stankov-pod-zakaz","[]","Изготовление и восстановление направляющих для станков под заказ","Изготовление и восстановление направляющих для токарных, фрезерных и других станков. Направляющие станин, суппортов, столов, кареток. Наплавка, шабрение, шлифование. ТД РУССтанкоСбыт.","[]"
"Колесо зубчатое 1М63.21.197","koleso-zubcatoe-1m63-21-197","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""12""},{""key"":""Число зубьев, Z"",""value"":""32""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""52""}]","Колесо зубчатое 1М63.21.197 для шпиндельной бабки станка 1М63 Z=32, m=3","Купить колесо зубчатое 1М63.21.197  Z=32, m=3 для шпиндельной бабки (коробки скоростей) токарного станка 1М63 (ДИП‑300, 163, 1М63Н). Позиция 12 по схеме, каталожная запчасть. Запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""165c4613-d4f8-4e27-8da2-4163b4c0b19f""},{""spare_part_id"":""165c4613-d4f8-4e27-8da2-4163b4c0b19f""},{""spare_part_id"":""165c4613-d4f8-4e27-8da2-4163b4c0b19f""}]"
"Винт 165.03.152","vjnt-165-03-152","[{""key"":""Применимость:"",""value"":""Бабка задняя""},{""key"":""Позиция на кинематической схеме, №"",""value"":""155""},{""key"":""Число заходов"",""value"":""1""},{""key"":""Шаг левой резьбы, мм"",""value"":""12""},{""key"":""Диаметр резьбы, мм"",""value"":""60""}]","Винт 165.03.152 для задней бабки токарного станка 1Н65, 1М65, 165 (ДИП-500)","Купить винт 165.03.152 для задней бабки токарных станков 1Н65, 1М65, 165 (ДИП-500), РТ117, РТ817 с пинолью диаметром 140, 180, 210 мм. Запасная часть ТД РУССтанкоСбыт.","[{""spare_part_id"":""168591f0-d439-4098-bbf0-83872c56d4a4""},{""spare_part_id"":""168591f0-d439-4098-bbf0-83872c56d4a4""},{""spare_part_id"":""168591f0-d439-4098-bbf0-83872c56d4a4""}]"
"Вал 6Т83Г.30.251А коробки скоростей станка 6Т83Г ","val-6t83g-30-251a-korobkj-skorostei-stanka-6t83g","[{""key"":""Применимость:"",""value"":""Коробка скоростей""},{""key"":""Вал оси"",""value"":""III""}]","Вал 6Т83Г.30.251А для коробки скоростей станка 6Т83Г","Купить вал 6Т83Г.30.251А для коробки скоростей консольно-фрезерного станка 6Т83Г. Каталожный вал III оси привода скоростей. Запасная часть ТД РУССтанкоСбыт","[]"
"Вал 1М63Н.20.158","val-1m63n-20-158","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В11""}]","Вал 1М63Н.20.158 для шпиндельной бабки станка 1М63Н (ДИП-300)","Купить вал 1М63Н.20.158 для шпиндельной бабки токарно-винторезного станка 1М63Н (ДИП-300, 163, 1М63). Каталожная позиция В11 по кинематической схеме. Запчасть ТД РУССтанкоСбыт.


","[{""spare_part_id"":""1799c375-5e93-48a3-908d-c2f77245f269""},{""spare_part_id"":""1799c375-5e93-48a3-908d-c2f77245f269""},{""spare_part_id"":""1799c375-5e93-48a3-908d-c2f77245f269""},{""spare_part_id"":""1799c375-5e93-48a3-908d-c2f77245f269""}]"
"Вал 1М63Б.70.239","val-1m63b-70-239","[{""key"":""Применимость:"",""value"":""Коробка подач""},{""key"":""Позиция на кинематической схеме, №"",""value"":""В18""}]","Вал 1М63Б.70.239 для коробки подач станка 1М63Н (ДИП-300)","Купить вал 1М63Б.70.239 для коробки подач токарно-винторезного станка 1М63Н (ДИП-300, 163, 1М63), а также 16К40 и РТ301. Каталожная позиция В18. Запчасть ТД РУССтанкоСбыт


","[{""spare_part_id"":""18762981-9717-49f9-82c9-701c635dfa6c""},{""spare_part_id"":""18762981-9717-49f9-82c9-701c635dfa6c""},{""spare_part_id"":""18762981-9717-49f9-82c9-701c635dfa6c""},{""spare_part_id"":""18762981-9717-49f9-82c9-701c635dfa6c""}]"
"Колесо зубчатое 1Н65.50.152","koleso-zubcatoe-1n65-50-152","[{""key"":""Применимость: "",""value"":""Каретка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""158""},{""key"":""Число зубьев, z"",""value"":""17""},{""key"":""Модуль, m"",""value"":""3,5""},{""key"":""Ширина обода, мм "",""value"":""29,5""}]","Колесо зубчатое 1Н65.50.152 для каретки станка ДИП-500 (165, 1М65) 1Н65, z=17 m3,5","Купить колесо зубчатое 1Н65.50.152 для каретки токарно-винторезного станка 1Н65 (ДИП-500, 165, 1М65), РТ117 и РТ817. Позиция 158 по схеме, z=17, m=3,5, ширина 29,5 мм. ТД РУССтанкоСбыт","[{""spare_part_id"":""1a0a52c5-adf1-44a5-b221-7fdd5afe276f""},{""spare_part_id"":""1a0a52c5-adf1-44a5-b221-7fdd5afe276f""},{""spare_part_id"":""1a0a52c5-adf1-44a5-b221-7fdd5afe276f""}]"
"Вал-шестерня 1П756ДФ3.40.288 револьверной головки 1П756ДФ3","val-sesterna-revolevernoi-golovkj-1p756df3-40-288","[{""key"":""Применимость:"",""value"":""Револьверная головка 1П756ДФ3.40.000""}]","Вал-шестерня 1П756ДФ3.40.288 револьверной головки 1П756ДФ3","Купить вал-шестерню револьверной головки 1П756ДФ3.40.288 для четырёхпозиционной головки 1П756ДФ3.40.000 токарного станка с ЧПУ 1П756ДФ3, 16М30Ф3, 16Р30Ф3, СА983Ф3. Запчасть ТД РУССтанкоСбыт.","[]"
"Вал 1Н983.20.294 ","val-1n983-20-294","[{""key"":""Применимость:"",""value"":""Коробка подач""}]","Вал 1Н983.20.294 для коробки подач трубонарезного станка 1Н983","Купить вал 1Н983.20.294 для коробки подач специального трубонарезного станка 1Н983 и серии 1А983/1Н983. Оригинальная запасная часть ТД РУССтанкоСбыт","[{""spare_part_id"":""1a798e63-bbdc-43e5-879c-f1674e837518""}]"
"Вал ходовой 1Н65.10.152","val-hodovoi-1n65-10-152","[{""key"":""Применимость:"",""value"":""Станина""},{""key"":""Позиция на кинематической схеме, № "",""value"":""B24""},{""key"":""Длина вала, мм"",""value"":""4325""}]","Вал ходовой 1Н65.10.152 для станины станка 1Н65 (ДИП‑500)","Купить вал ходовой 1Н65.10.152 (L≈4325 мм) для станины токарно‑винторезного станка 1Н65 (ДИП‑500, 165, 1М65), а также РТ117 и РТ817. Оригинальная запчасть ТД РУССтанкоСбыт.","[{""spare_part_id"":""1b142a69-50dc-4cc1-86b9-dc4569af5487""},{""spare_part_id"":""1b142a69-50dc-4cc1-86b9-dc4569af5487""},{""spare_part_id"":""1b142a69-50dc-4cc1-86b9-dc4569af5487""}]"
"Колесо зубчатое 1М63.02.262","koleso-zubcatoe-1m63-02-262","[{""key"":""Применимость:"",""value"":""Шпиндельная бабка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""38""},{""key"":""Число зубьев, z"",""value"":""50""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""12""}]","Колесо зубчатое 1М63.02.262 для шпиндельной бабки станка 1М63, z=50, m=3","Купить колесо зубчатое 1М63.02.262 для шпиндельной бабки (коробки скоростей) токарно-винторезного станка 1М63 (ДИП-300, 163, 1М63Н) и станка РТ301. Позиция 38 по схеме, z=50, m=3, ширина 12 мм. ТД РУССтанкоСбыт.","[{""spare_part_id"":""1be5ab13-236a-43e6-bafd-b05745309fba""},{""spare_part_id"":""1be5ab13-236a-43e6-bafd-b05745309fba""},{""spare_part_id"":""1be5ab13-236a-43e6-bafd-b05745309fba""}]"
"Колесо зубчатое 1Н65.50.154","koleso-zubcatoe-1n65-50-154","[{""key"":""Применимость:"",""value"":""Каретка""},{""key"":""Позиция на кинематической схеме, №"",""value"":""165,166""},{""key"":""Число зубьев, z"",""value"":""24""},{""key"":""Модуль, m"",""value"":""3""},{""key"":""Ширина обода, мм"",""value"":""14""}]","Колесо зубчатое 1Н65.50.154 для каретки станка 1Н65, z=24, m=3","Купить колесо зубчатое 1Н65.50.154 для каретки токарно‑винторезного станка 1Н65 (ДИП‑500, 165, 1М65), РТ117 и РТ817. Позиции 165,166 по схеме, z=24, m=3, ширина 14 мм. ТД РУССтанкоСбыт","[{""spare_part_id"":""1c612556-2040-4b30-bd94-a39a042abf9c""},{""spare_part_id"":""1c612556-2040-4b30-bd94-a39a042abf9c""},{""spare_part_id"":""1c612556-2040-4b30-bd94-a39a042abf9c""}]"
